year,country,temperature(Celsius)
2016, Russia,-4.2352533333333335
1985, France,10.050288333333334
1986, France,10.318173333333332
1987, France,10.305304999999999
1988, France,11.183238333333334
1989, France,11.724139166666667
1990, France,11.765655
1991, France,10.754585
1992, France,11.105659166666667
1993, France,10.771772500000003
1994, France,11.977424166666667
1995, France,11.586616666666666
1996, France,10.5934775
1997, France,11.849255833333332
1998, France,11.312666666666667
1999, France,11.720350000000002
2000, France,11.888568333333334
2001, France,11.417185833333333
2002, France,11.867035
2003, France,11.8987675
2004, France,11.3837125
2005, France,11.350787500000001
2006, France,11.915509166666668
2007, France,11.643284166666666
2008, France,11.337159166666668
2009, France,11.695545000000001
2010, France,10.625238333333334
2011, France,12.323240833333335
2012, France,11.5415175
2013, France,11.084975
2014, France,12.500744166666665
2015, France,12.164351666666667
2016, France,11.765049166666664
1985, Thailand,26.06735
1986, Thailand,26.025825
1987, Thailand,26.471441666666667
1988, Thailand,26.193574999999996
1989, Thailand,26.15975
1990, Thailand,26.46139166666667
1991, Thailand,27.007350000000002
1992, Thailand,26.590366666666664
1993, Thailand,26.600416666666664
1994, Thailand,26.6785
1995, Thailand,26.55435
1996, Thailand,26.162633333333332
1997, Thailand,26.696225
1998, Thailand,27.378066666666665
1999, Thailand,26.156391666666668
2000, Thailand,26.371025
2001, Thailand,26.875016666666667
2002, Thailand,27.009625
2003, Thailand,26.941975000000003
2004, Thailand,26.842533333333336
2005, Thailand,27.12239166666667
2006, Thailand,26.494775
2007, Thailand,26.371350000000007
2008, Thailand,26.03023333333333
2009, Thailand,26.435599999999994
2010, Thailand,27.102908333333335
2011, Thailand,26.090791666666664
2012, Thailand,27.024033333333335
2013, Thailand,26.664924999999997
2014, Thailand,26.745924999999996
2015, Thailand,27.15828333333333
2016, Thailand,27.385716666666656
1985, South Africa,18.200691666666668
1986, South Africa,18.14635
1987, South Africa,18.230116666666664
1988, South Africa,17.718799999999998
1989, South Africa,17.540450000000003
1990, South Africa,17.79785
1991, South Africa,17.82750833333333
1992, South Africa,18.36305
1993, South Africa,18.332400000000003
1994, South Africa,17.670925
1995, South Africa,17.952075
1996, South Africa,17.380869166666667
1997, South Africa,17.744166666666665
1998, South Africa,18.222466666666666
1999, South Africa,18.596716666666666
2000, South Africa,17.58729166666667
2001, South Africa,17.87586666666667
2002, South Africa,17.934908333333333
2003, South Africa,18.307583333333334
2004, South Africa,18.465841666666666
2005, South Africa,18.55558333333333
2006, South Africa,18.041683333333335
2007, South Africa,18.36433333333333
2008, South Africa,18.462333333333333
2009, South Africa,18.380733333333332
2010, South Africa,18.662458333333337
2011, South Africa,18.070475
2012, South Africa,18.207266666666666
2013, South Africa,18.31061666666667
2014, South Africa,18.471675
2015, South Africa,18.750566666666668
2016, South Africa,19.053575
